recall@10,tm_X3b_en_body_value,tm_X3b_en_field_ref_desc,tm_X3b_en_field_ref_titre,tm_X3b_en_mots_cles,tm_X3b_en_title,tm_X3b_en_corps_value,tm_X3b_en_paragraphs_text,tm_X3b_en_name,tm_X3b_en_mission_value,tm_X3b_en_text_content,tm_X3b_en_full_meta_tag
0.8053,1.4590,1.2361,1.3777,3.8196,2.2498,0.8787,1.0000,1.0000,1.0000,1.0000,1.0000
0.8053,1.4590,1.2361,1.3777,3.8196,2.2498,0.8775,1.0000,1.0000,1.0000,1.0000,1.0000
0.8053,1.4590,1.2361,1.3777,3.8196,2.2498,0.8768,1.0000,1.0000,1.0000,1.0000,1.0000
0.8053,1.4590,1.2361,1.3777,3.8196,2.2498,0.8763,1.0000,1.0000,1.0000,1.0000,1.0000
0.8053,1.4590,1.2361,1.3777,3.8196,2.2498,0.8760,1.0000,1.0000,1.0000,1.0000,1.0000
0.8053,1.4590,1.2361,1.3777,3.8196,2.2498,0.8759,1.0000,1.0000,1.0000,1.0000,1.0000
0.8053,1.4590,1.2361,1.3777,3.8196,2.2498,0.8758,1.0000,1.0000,1.0000,1.0000,1.0000
0.8053,1.4590,1.2361,1.3777,3.8196,2.2498,0.8757,1.0000,1.0000,1.0000,1.0000,1.0000
0.8053,1.4590,1.2361,1.3777,3.8196,2.2498,0.8757,1.0000,1.0000,1.0000,1.0000,1.0000
0.2992,1.4590,1.2361,1.3777,3.8196,2.2498,0.8757,3.8197,1.0000,1.0000,1.0000,1.0000
0.0902,1.4590,1.2361,1.3777,3.8196,2.2498,0.8757,6.1803,1.0000,1.0000,1.0000,1.0000
0.6025,1.4590,1.2361,1.3777,3.8196,2.2498,0.8757,2.3607,1.0000,1.0000,1.0000,1.0000
0.7480,1.4590,1.2361,1.3777,3.8196,2.2498,0.8757,1.4590,1.0000,1.0000,1.0000,1.0000
0.8053,1.4590,1.2361,1.3777,3.8196,2.2498,0.8757,0.9017,1.0000,1.0000,1.0000,1.0000
0.8053,1.4590,1.2361,1.3777,3.8196,2.2498,0.8757,0.5573,1.0000,1.0000,1.0000,1.0000
0.8053,1.4590,1.2361,1.3777,3.8196,2.2498,0.8757,0.7295,1.0000,1.0000,1.0000,1.0000
