recall@10,tm_X3b_en_body_value,tm_X3b_en_field_ref_desc,tm_X3b_en_field_ref_titre,tm_X3b_en_mots_cles,tm_X3b_en_title,tm_X3b_en_corps_value,tm_X3b_en_paragraphs_text,tm_X3b_en_name,tm_X3b_en_mission_value,tm_X3b_en_text_content
0.4836,1.4590,1.2776,1.4881,2.3607,2.4686,3.8197,1.0000,1.0000,1.0000,1.0000
0.4406,1.4590,1.2776,1.4881,2.3607,2.4686,6.1803,1.0000,1.0000,1.0000,1.0000
0.6516,1.4590,1.2776,1.4881,2.3607,2.4686,2.3607,1.0000,1.0000,1.0000,1.0000
0.7541,1.4590,1.2776,1.4881,2.3607,2.4686,1.4590,1.0000,1.0000,1.0000,1.0000
0.8033,1.4590,1.2776,1.4881,2.3607,2.4686,0.9017,1.0000,1.0000,1.0000,1.0000
0.7869,1.4590,1.2776,1.4881,2.3607,2.4686,0.5573,1.0000,1.0000,1.0000,1.0000
0.8033,1.4590,1.2776,1.4881,2.3607,2.4686,0.8875,1.0000,1.0000,1.0000,1.0000
0.8033,1.4590,1.2776,1.4881,2.3607,2.4686,0.8946,1.0000,1.0000,1.0000,1.0000
0.8033,1.4590,1.2776,1.4881,2.3607,2.4686,0.8919,1.0000,1.0000,1.0000,1.0000
0.8033,1.4590,1.2776,1.4881,2.3607,2.4686,0.8902,1.0000,1.0000,1.0000,1.0000
0.8033,1.4590,1.2776,1.4881,2.3607,2.4686,0.8891,1.0000,1.0000,1.0000,1.0000
0.8033,1.4590,1.2776,1.4881,2.3607,2.4686,0.8885,1.0000,1.0000,1.0000,1.0000
0.8033,1.4590,1.2776,1.4881,2.3607,2.4686,0.8881,1.0000,1.0000,1.0000,1.0000
0.8033,1.4590,1.2776,1.4881,2.3607,2.4686,0.8879,1.0000,1.0000,1.0000,1.0000
0.8033,1.4590,1.2776,1.4881,2.3607,2.4686,0.8877,1.0000,1.0000,1.0000,1.0000
0.8033,1.4590,1.2776,1.4881,2.3607,2.4686,0.8876,1.0000,1.0000,1.0000,1.0000
0.8033,1.4590,1.2776,1.4881,2.3607,2.4686,0.8875,1.0000,1.0000,1.0000,1.0000
0.8033,1.4590,1.2776,1.4881,2.3607,2.4686,0.8875,1.0000,1.0000,1.0000,1.0000
0.3320,1.4590,1.2776,1.4881,2.3607,2.4686,0.8875,3.8197,1.0000,1.0000,1.0000
0.1230,1.4590,1.2776,1.4881,2.3607,2.4686,0.8875,6.1803,1.0000,1.0000,1.0000
0.6270,1.4590,1.2776,1.4881,2.3607,2.4686,0.8875,2.3607,1.0000,1.0000,1.0000
